ItemNum,source,url,block,new_rand_order,ItemText_Raw,Answer_Key,true_human_or_GPT4,reviewer1_human_or_GPT4,reviewer1_why,reviewer2_human_or_GPT4,reviewer2_why,reviewer3_human_or_GPT4,reviewer3_why,concensus_human_vs_GPT,correct_human_vs_GPT_concensus,reviewer1_time_required_in_minutes,reviewer1_is_gpt_qa_correct,reviewer1_is_gpt_qa_correct_1_word,reviewer1_is_gpt_exp_correct,reviewer1_is_gpt_exp_correct_1_word,reviewer2_time_required_in_minutes,reviewer2_is_gpt_qa_correct,reviewer2_is_gpt_qa_correct_1_word,reviewer2_is_gpt_exp_correct,reviewer2_is_gpt_exp_correct_1_word,reviewer3_time_required_in_minutes,reviewer3_is_gpt_qa_correct,reviewer3_is_gpt_qa_correct_1_word,reviewer3_is_gpt_exp_correct,reviewer3_is_gpt_exp_correct_1_word,consensus_is_gpt_qa_correct,consensus_reason
067G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,27,"A 35-year-old man presents to the emergency department with a 2-hour history of severe, sharp left-sided chest pain that radiates to his back. The pain began suddenly while he was lifting a heavy object at work. He has a history of hypertension, for which he takes hydrochlorothiazide. His vital signs are as follows: blood pressure 180/110 mm Hg, heart rate 110 bpm, respiratory rate 18 breaths/min, and oxygen saturation 97% on room air. Physical examination reveals a diastolic murmur heard best at the left sternal border. A chest x-ray shows mediastinal widening. Which of the following diagnostic tests is most appropriate to confirm this patient's diagnosis?

(A) Cardiac catheterization
(B) Computed tomography (CT) angiography of the chest
(C) Echocardiogram
(D) Magnetic resonance imaging (MRI) of the chest
(E) Ventilation-perfusion (V/Q) scan",B,GPT,human,,human,seems particularly leading. not sure if I'm simplifying or forgot how direct these questions are,human,,human,FALSE,5,Yes,yes,Yes,yes,,,,,,,,,,,yes,
077G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,31,"A 24-year-old woman presents to the emergency department with severe abdominal pain, nausea, and vomiting. She mentions that she has had intermittent abdominal pain for the past two months, but this episode is the most severe. Her past medical history is significant for Crohn's disease. On examination, her temperature is 38.1°C (100.6°F), pulse is 110/min, respirations are 20/min, and blood pressure is 105/65 mm Hg. Her abdomen is distended, and she has generalized tenderness with guarding. Bowel sounds are hypoactive. Laboratory tests reveal a white blood cell count of 14,000/µL, and plain abdominal radiographs show dilated loops of bowel with air-fluid levels. A nasogastric tube is placed, and she is started on intravenous fluids and broad-spectrum antibiotics. Despite these interventions, her pain and distension do not improve over the next 12 hours. Which of the following is the most appropriate next step in management?

(A) Administer corticosteroids
(B) Schedule an emergent colonoscopy
(C) Obtain a CT scan of the abdomen and pelvis
(D) Perform a diagnostic laparoscopy
(E) Switch to a different antibiotic regimen",C,GPT,GPT,Not medically sound - an acute abdomen would be assessed by a surgeon immediately.,GPT,sorta weird that a CT scan hasn't been done already?,human,,GPT,TRUE,3,No - Patient with an 'acute abdomen' needs evaluation by a general surgeon (not an option here),no,No,no,,,,,,,,,,,no,No correct answer
037H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,1,32,"A 32-year-old nulligravid woman comes to the office for counseling prior to conception. Menses occur at irregular 40- and 60-day intervals. She has impaired glucose tolerance controlled by diet. She takes no medications. She is 165 cm (5 ft 5 cm) tall and weighs 84 kg (185 lb); BMI is 31 kg/m². Vital signs are within normal limits. Examination shows no abnormalities. Her fasting serum glucose concentration is 120 mg/dL. This patient is at greatest risk for developing which of the following?

(A) Gestational diabetes
(B) Hypothyroidism
(C) Intrauterine growth restriction
(D) Placenta previa
(E) Preterm labor",A,human,human,,GPT,"if this is human, this would be a trick question..?",GPT,Also seems to straightforward,GPT,FALSE,,,,,,,,,,,,,,,,,
042G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,33,"A 42-year-old woman presents to the emergency department with sudden onset of severe, tearing chest pain radiating to the back, accompanied by shortness of breath and dizziness. Her medical history is significant for hypertension and smoking. On physical examination, her blood pressure is 180/110 mm Hg in the right arm and 155/95 mm Hg in the left arm. Her heart rate is 110 beats per minute, and her respiratory rate is 22 breaths per minute. The patient appears anxious and diaphoretic. Auscultation of the chest reveals a diastolic murmur heard best at the right upper sternal border. ECG shows nonspecific ST-segment and T-wave changes. Which of the following is the most likely diagnosis for this patient's clinical presentation?

(A) Aortic dissection
(B) Aortic embolism
(C) Acute myocardial infarction
(D) Pulmonary embolism
(E) Spontaneous pneumothorax",A,GPT,human,,human,pretty straightforward..,human,,human,FALSE,3,Yes,yes,Yes,yes,,,,,,,,,,,yes,
120G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,3,38,"A 35-year-old man presents to the clinic with a 3-week history of pain and tingling in his left hand, especially at night. He also reports difficulty in gripping objects. He works as a computer programmer and spends long hours typing on the keyboard. On physical examination, Tinel's sign is positive at the wrist, and Phalen's test is also positive. Sensation is decreased in the thumb, index, and middle fingers of the left hand. The strength of the thenar muscles is preserved. Which of the following is the most likely diagnosis?

(A) Carpal tunnel syndrome
(B) Cubital tunnel syndrome
(C) Median nerve entrapment at the elbow
(D) Ulnar nerve entrapment at the wrist
(E) Radial nerve palsy
(F) C6 radiculopathy",A,GPT,human,,human,,GPT,Answer is too obvious,human,FALSE,4,Yes,yes,Yes,yes,,,,,,,,,,,yes,
036H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,1,39,"A 23-year-old man is being evaluated in the intensive care unit because of steadily decreasing blood pressure since he was admitted 2 hours ago for treatment of septic shock caused by pneumonia. Medical history is remarkable for cystic fibrosis and severe obstructive lung disease. In the emergency department, the patient was intubated, had three peripheral intravenous catheters placed, and was treated empirically with broad spectrum antibiotics, bronchodilators, a continuous infusion of propofol and fentanyl, and 4 L of 0.9% saline. Immediately after administration of fluids, the patient's pulse was 105/min and blood pressure was 100/50 mm Hg. The patient is 173 cm (5 ft 8 in) tall and weighs 59 kg (130 lb); BMI is 20 kg/m². Pulse is 135/min and blood pressure is 79/43 mm Hg. Auscultation of the lungs discloses diffuse rhonchi and inspiratory crackles with low-pitched bilateral expiratory wheezes. Cardiac examination discloses no murmurs, rubs, or gallops. Bedside ultrasonography of the abdomen shows the inferior vena cava is 1.8 cm in diameter with minimum respirophasic collapsibility, and cardiac ultrasonography shows that the left ventricular ejection fraction is approximately 0.65. Results of laboratory studies obtained on admission and now are shown:

On Admission, the White Blood Cell count is 21,000/mm³ and Blood Lactic acid is 5.2 mg/dL. Now the patient's White Blood Cell count is 19,000/mm³ and Blood Lactic acid is 4.0 mg/dL

Which of the following is the most appropriate next step in management?

(A) Administer an additional 1-L bolus of 0.9% saline
(B) Administer intravenous hydrocortisone
(C) Administer intravenous voriconazole
(D) Begin a continuous infusion of norepinephrine
(E) Order CT scan of the head",D,human,GPT,"This is a tricky clinical scenario (CF, OLD history), but the answers aren't tricky - only one medication treats low blood pressure",human,think this is getting at calculating the MAP before initiating norepinephrine for shock,GPT,ejection fraction is not presented as a decimal. Typically we say the patient has 65% ejection fraction.,GPT,FALSE,,,,,,,,,,,,,,,,,
066H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,41,"A 13-month-old boy is brought to a small rural emergency department (ED) near his family's community because of an erythematous, edematous mass in his perianal area that is hot to touch. He has no history of serious illness and receives no medications. Growth and development are appropriate for age. Vaccinations are up-to-date. He is at the 50th percentile for length and weight. Temperature is 39.4°C (103.0°F), pulse is 160/min, and respirations are 36/min. Examination shows fluctuance and exquisite tenderness to palpation of the perianal mass. Oral acetaminophen and a dose of oral cephalexin are administered, and the parents are told that their child’s case is beyond the capabilities of the hospital. They are referred to the nearest hospital with a pediatric service, a suburban hospital 50 miles away. The suburban hospital is contacted regarding the referral and a pediatric surgeon accepts transfer of the patient. When the patient is brought to the ED of the suburban hospital, a triage nurse obtains his oral temperature of 37.7°C (99.8°F) and pulse of 126/min. The nurse notes that the family has no health insurance and states that the case is beyond the capabilities of the hospital. The nurse recommends taking the patient to the ED of a downtown university hospital 4 miles away. The parents follow this recommendation, and the patient undergoes incision and drainage of the abscess at the downtown hospital later that day. Which of the following is the most accurate characterization of this patient's pattern of care?

(A) The patient received appropriate care under the circumstances
(B) The pediatric surgeon at the suburban hospital should have insisted on personally examining the patient and draining the abscess
(C) The rural hospital should have sent the patient directly to the downtown university hospital
(D) The suburban hospital executed unethical but legal conduct in this case
(E) The suburban hospital violated the Emergency Medical Treatment and Active Labor Act (EMTALA)",E,human,human,"This is a super nuanced question, all the answers seem informed by information in the question stem.",human,,GPT,This seems very convoluted,human,TRUE,,,,,,,,,,,,,,,,,
062G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,42,"A 32-year-old man presents to the clinic with complaints of fatigue and weight loss over the past 3 months. He has no significant medical history, and his family history is unremarkable. On examination, you note that he has pale conjunctivae, tachycardia, and a systolic flow murmur. His complete blood count reveals a hemoglobin of 8.5 g/dL, a mean corpuscular volume of 105 fL, and a normal white blood cell count and platelet count. Which of the following is the most appropriate initial diagnostic test to perform in this patient?

(A) Bone marrow biopsy
(B) Colonoscopy
(C) Erythropoietin level
(D) Reticulocyte count
(E) Serum ferritin level",D,GPT,human,,human,don't love this. would order lots of tests,human,,human,FALSE,5,Yes,yes,Yes,yes,,,,,,1,Yes,yes,"Yes but could be improved as the explanation was not quite ""too the point"". For example, E was not correct because it is the test for ""microcytic anemia""",yes,yes,
013G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,1,46,"Abstract:
Objective:
In patients with congestive heart failure (CHF), how do angiotensin receptor blockers (ARBs) and angiotensin-converting enzyme inhibitors (ACEIs) compare for reducing hospitalizations and improving survival?

Methods
Design: Randomized controlled trial (Heart Failure Treatment Study). ClinicalTrials.gov NCT00711032.

Allocation: Concealed.

Blinding: Double-blinded (patients, clinicians, and outcome assessors).

Follow-up period: Up to 5 years.

Setting: Multicenter study.

Patients: 1,200 patients (mean age 63 years, 68% men) with symptomatic CHF (New York Heart Association class II-IV) and left ventricular ejection fraction (LVEF) ≤ 40%. Exclusion criteria included intolerance or contraindications to ACEIs or ARBs.

Intervention: ARBs (n = 600) or ACEIs (n = 600). Patients were randomly assigned to receive either an ARB (losartan) or an ACEI (enalapril).

Outcomes: Hospitalization due to worsening CHF, all-cause mortality, change in LVEF, and incidence of renal impairment.

Patient follow-up: 97% (minimum follow-up until death or 4.8 years).

Main results

Hospitalization due to worsening CHF was lower with ARBs than with ACEIs (20% vs 28%, relative risk reduction 29%, 95% CI 15 to 40; number needed to treat 11, CI 7 to 20). Other main results are shown in the Table.

ARBs (losartan) vs ACEIs (enalapril) in patients with congestive heart failure

Outcomes | ARBs | ACEIs | P value |
————————————————————————————————————
All-cause mortality | 35% | 37% | .40 |
Change in LVEF* | +4.2% | +3.8% | .31 |
Incidence of renal impairment† | 12% | 18% | .02 |
————————————————————————————————————
*LVEF: left ventricular ejection fraction.
†Defined as an increase in serum creatinine of ≥ 0.3 mg/dL or ≥ 50% from baseline.
————————————————————————————————————

Conclusion
In patients with congestive heart failure, angiotensin receptor blockers were more effective than angiotensin-converting enzyme inhibitors in reducing hospitalizations due to worsening CHF and the incidence of renal impairment, with no significant difference in all-cause mortality or change in LVEF.

Sources of funding: National Institutes of Health and Cardiovascular Research Foundation.

Structured abstract based on: Smith JK, Adams BF, Wilson LM, et al. Comparison of angiotensin receptor blockers and angiotensin-converting enzyme inhibitors in patients with congestive heart failure: a randomized controlled trial. J Card Fail. 2022;28:395-404. 33521782

Which of the following conclusions is most appropriate based on the results presented in the table?

(A) ARBs significantly improve LVEF compared to ACEIs
(B) ACEIs significantly reduce the incidence of renal impairment compared to ARBs
(C) ARBs significantly decrease hospitalizations due to worsening CHF compared to ACEIs
(D) ARBs and ACEIs show a significant difference in all-cause mortality",C,GPT,human,,human,just seems longer than others and would be harder to replicate,GPT,I think overall this is a poorly formatted question that is hard to read on Excel. The question was which of the following can be concluded from the information in the table. None of these answers can be true based off the information in what I assume is the table.,human,FALSE,3,Yes,yes,Yes,yes,,,,,,4,Yes,yes,"No; hospitalization was actually not shown in the table, it was written in the description",no,yes,
063H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,48,"A 1-hour-old male newborn is examined in the hospital nursery. He was born at term to a 22-year-old woman, gravida 1, para 1, with HIV infection. The mother took antiretroviral therapy throughout her pregnancy, and her HIV viral load was consistently <1000 copies/mL. She received intravenous zidovudine (AZT) during labor. The patient’s Apgar scores were 8 and 9 at 1 and 5 minutes, respectively. He is at the 50th percentile for length, weight, and head circumference. He appears well. Examination shows no abnormalities. In addition to administration of the hepatitis B vaccine, which of the following is the most appropriate pharmacotherapy for this newborn?

(A) Lopinavir-ritonavir and trimethoprim-sulfamethoxazole
(B) Lopinavir-ritonavir only
(C) Penicillin
(D) Trimethoprim-sulfamethoxazole only
(E) Zidovudine (AZT)",E,human,human,,human,seems specific,human,,human,TRUE,,,,,,,,,,,,,,,,,
097H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,3,49,"A 57-year-old man is admitted to the hospital 30 minutes after he was found wandering in the streets. Fingerstick blood glucose concentration obtained by paramedics prior to transport was 68 mg/dL. The patient's medical history is unknown. Temperature is 35.8°C (96.5°F), pulse is 80/min, respirations are 16/min, and blood pressure is 106/70 mm Hg. The patient appears disheveled and is not oriented to person, place, or time. Physical examination shows mild conjunctival icterus. Cardiopulmonary examination discloses no abnormalities. Abdominal examination discloses a small fluid wave. There is palmar erythema and 1+ pitting edema of the lower extremities. Gait is broad based and ataxic. The patient is unable to cooperate with ocular or neurologic examinations. ECG shows a regular sinus rhythm and no acute abnormalities. Results of toxicology screening are pending. The most appropriate initial step in management is to administer which of the following?

(A) Glucose
(B) Vitamin B₁ (thiamine)
(C) Vitamin B₂ (riboflavin)
(D) Vitamin B₆ (pyridoxine)
(E) Vitamin B₁₂ (cyanocobalamin)",B,human,human,,human,,human,,human,TRUE,,,,,,,,,,,,,,,,,
073G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,50,"A 65-year-old man with a history of type 2 diabetes mellitus and hyperlipidemia comes to the clinic complaining of bilateral lower extremity swelling and increased shortness of breath for the past month. He denies chest pain, fever, or recent travel. He is currently taking metformin, atorvastatin, and aspirin. His blood pressure is 155/95 mm Hg, pulse is 88 beats/min, and respiratory rate is 20 breaths/min. Physical examination reveals pitting edema of the lower extremities and crackles in the lower lung fields bilaterally. A chest X-ray demonstrates cardiomegaly and pulmonary vascular congestion. Which of the following is the most appropriate next step in the management of this patient?

(A) Begin furosemide therapy
(B) Obtain an echocardiogram
(C) Initiate ACE inhibitor therapy
(D) Start a calcium channel blocker
(E) Begin treatment with a beta-blocker
(F) No change in management is indicated at this time",B,GPT,human,,GPT,"would do both A and B.. so if a huamn wrote this, not realistic",human,,human,FALSE,5,Yese,yes,Yes,yes,,,,,,1,No,no,"No. Clinical suspicion for heart failure described in this scenario is high enough to start furosemide therapy. In practice, a formal echocardiography is often not immediately available and clinicians typically have to wait until the next business day. Delaying furosemide therapy could cause serious harm and immediate deteriotion. A bedside echocardiogram, if available, can be done immediately, is often helpful but not necessary.",no,50/50,AI-chosen answer is incorrect
