item_num,gt_answer,model,model_answer
040H,C,Qwen1.5-72B-Chat,C
091H,A,Qwen1.5-72B-Chat,A
007G,D,Qwen1.5-72B-Chat,D
049G,A,Qwen1.5-72B-Chat,A
110G,E,Qwen1.5-72B-Chat,E
075G,C,Qwen1.5-72B-Chat,D
059H,E,Qwen1.5-72B-Chat,F
057G,A,Qwen1.5-72B-Chat,A
043G,A,Qwen1.5-72B-Chat,C
116G,B,Qwen1.5-72B-Chat,B
077H,C,Qwen1.5-72B-Chat,C
100G,B,Qwen1.5-72B-Chat,B
118G,F,Qwen1.5-72B-Chat,F
097G,B,Qwen1.5-72B-Chat,B
039G,B,Qwen1.5-72B-Chat,B
111G,A,Qwen1.5-72B-Chat,B
031H,D,Qwen1.5-72B-Chat,D
102G,D,Qwen1.5-72B-Chat,D
105H,D,Qwen1.5-72B-Chat,D
099G,B,Qwen1.5-72B-Chat,A
098G,B,Qwen1.5-72B-Chat,B
009G,B,Qwen1.5-72B-Chat,B
035H,C,Qwen1.5-72B-Chat,E
039H,C,Qwen1.5-72B-Chat,C
075H,D,Qwen1.5-72B-Chat,D
040G,B,Qwen1.5-72B-Chat,B
009H,C,Qwen1.5-72B-Chat,B
089H,A,Qwen1.5-72B-Chat,A
079G,C,Qwen1.5-72B-Chat,C
068H,D,Qwen1.5-72B-Chat,D
102H,A,Qwen1.5-72B-Chat,E
105G,B,Qwen1.5-72B-Chat,B
028H,C,Qwen1.5-72B-Chat,C
073H,D,Qwen1.5-72B-Chat,D
067H,E,Qwen1.5-72B-Chat,E
045G,B,Qwen1.5-72B-Chat,B
022G,B,Qwen1.5-72B-Chat,A
098H,B,Qwen1.5-72B-Chat,B
013H,B,Qwen1.5-72B-Chat,B
063G,E,Qwen1.5-72B-Chat,A
062H,E,Qwen1.5-72B-Chat,B
072G,B,Qwen1.5-72B-Chat,B
083H,D,Qwen1.5-72B-Chat,D
120H,F,Qwen1.5-72B-Chat,A
081G,B,Qwen1.5-72B-Chat,B
032H,B,Qwen1.5-72B-Chat,B
037G,C,Qwen1.5-72B-Chat,D
059G,C,Qwen1.5-72B-Chat,C
110H,E,Qwen1.5-72B-Chat,E
065H,E,Qwen1.5-72B-Chat,E
028G,C,Qwen1.5-72B-Chat,C
091G,C,Qwen1.5-72B-Chat,C
049H,D,Mixtral-8x7B-Instruct-v0.1,D
006H,A,Mixtral-8x7B-Instruct-v0.1,A
027G,D,Mixtral-8x7B-Instruct-v0.1,D
118H,D,Mixtral-8x7B-Instruct-v0.1,B
079H,A,Mixtral-8x7B-Instruct-v0.1,C
061G,E,Mixtral-8x7B-Instruct-v0.1,E
057H,E,Mixtral-8x7B-Instruct-v0.1,E
104G,B,Mixtral-8x7B-Instruct-v0.1,B
081H,B,Mixtral-8x7B-Instruct-v0.1,B
106G,D,Mixtral-8x7B-Instruct-v0.1,D
067G,B,Mixtral-8x7B-Instruct-v0.1,B
077G,C,Mixtral-8x7B-Instruct-v0.1,C
037H,A,Mixtral-8x7B-Instruct-v0.1,A
042G,A,Mixtral-8x7B-Instruct-v0.1,A
120G,A,Mixtral-8x7B-Instruct-v0.1,A
036H,D,Mixtral-8x7B-Instruct-v0.1,D
066H,E,Mixtral-8x7B-Instruct-v0.1,A
062G,D,Mixtral-8x7B-Instruct-v0.1,D
013G,C,Mixtral-8x7B-Instruct-v0.1,C
063H,E,Mixtral-8x7B-Instruct-v0.1,A
097H,B,Mixtral-8x7B-Instruct-v0.1,B
073G,B,Mixtral-8x7B-Instruct-v0.1,B
043H,B,Mixtral-8x7B-Instruct-v0.1,B
066G,B,Mixtral-8x7B-Instruct-v0.1,A
104H,A,Mixtral-8x7B-Instruct-v0.1,B
086G,D,Mixtral-8x7B-Instruct-v0.1,D
083G,B,Mixtral-8x7B-Instruct-v0.1,B
045H,C,Mixtral-8x7B-Instruct-v0.1,C
089G,B,Mixtral-8x7B-Instruct-v0.1,B
032G,C,Mixtral-8x7B-Instruct-v0.1,C
099H,A,Mixtral-8x7B-Instruct-v0.1,D
027H,E,Mixtral-8x7B-Instruct-v0.1,E
100H,C,Mixtral-8x7B-Instruct-v0.1,C
035G,B,Mixtral-8x7B-Instruct-v0.1,D
068G,C,Mixtral-8x7B-Instruct-v0.1,B
065G,C,Mixtral-8x7B-Instruct-v0.1,C
006G,B,Mixtral-8x7B-Instruct-v0.1,B
086H,E,Mixtral-8x7B-Instruct-v0.1,A
042H,B,Mixtral-8x7B-Instruct-v0.1,B
036G,B,Mixtral-8x7B-Instruct-v0.1,A
007H,D,Mixtral-8x7B-Instruct-v0.1,D
116H,B,Mixtral-8x7B-Instruct-v0.1,B
111H,A,Mixtral-8x7B-Instruct-v0.1,D
106H,E,Mixtral-8x7B-Instruct-v0.1,E
072H,B,Mixtral-8x7B-Instruct-v0.1,B
031G,C,Mixtral-8x7B-Instruct-v0.1,C
061H,E,Mixtral-8x7B-Instruct-v0.1,C
022H,A,Mixtral-8x7B-Instruct-v0.1,A
040H,C,Mixtral-8x7B-Instruct-v0.1,C
091H,A,Mixtral-8x7B-Instruct-v0.1,D
007G,D,Mixtral-8x7B-Instruct-v0.1,D
049G,A,Mixtral-8x7B-Instruct-v0.1,A
110G,E,Mixtral-8x7B-Instruct-v0.1,E
075G,C,Mixtral-8x7B-Instruct-v0.1,D
059H,E,Mixtral-8x7B-Instruct-v0.1,D
057G,A,Mixtral-8x7B-Instruct-v0.1,A
043G,A,Mixtral-8x7B-Instruct-v0.1,C
116G,B,Mixtral-8x7B-Instruct-v0.1,B
077H,C,Mixtral-8x7B-Instruct-v0.1,C
100G,B,Mixtral-8x7B-Instruct-v0.1,B
118G,F,Mixtral-8x7B-Instruct-v0.1,E
097G,B,Mixtral-8x7B-Instruct-v0.1,B
039G,B,Mixtral-8x7B-Instruct-v0.1,B
111G,A,Mixtral-8x7B-Instruct-v0.1,D
031H,D,Mixtral-8x7B-Instruct-v0.1,D
102G,D,Mixtral-8x7B-Instruct-v0.1,D
105H,D,Mixtral-8x7B-Instruct-v0.1,D
099G,B,Mixtral-8x7B-Instruct-v0.1,D
098G,B,Mixtral-8x7B-Instruct-v0.1,B
009G,B,Mixtral-8x7B-Instruct-v0.1,B
035H,C,Mixtral-8x7B-Instruct-v0.1,C
039H,C,Mixtral-8x7B-Instruct-v0.1,C
075H,D,Mixtral-8x7B-Instruct-v0.1,D
040G,B,Mixtral-8x7B-Instruct-v0.1,B
009H,C,Mixtral-8x7B-Instruct-v0.1,B
089H,A,Mixtral-8x7B-Instruct-v0.1,A
079G,C,Mixtral-8x7B-Instruct-v0.1,C
068H,D,Mixtral-8x7B-Instruct-v0.1,D
102H,A,Mixtral-8x7B-Instruct-v0.1,A
105G,B,Mixtral-8x7B-Instruct-v0.1,B
028H,C,Mixtral-8x7B-Instruct-v0.1,C
073H,D,Mixtral-8x7B-Instruct-v0.1,D
067H,E,Mixtral-8x7B-Instruct-v0.1,E
045G,B,Mixtral-8x7B-Instruct-v0.1,B
022G,B,Mixtral-8x7B-Instruct-v0.1,B
098H,B,Mixtral-8x7B-Instruct-v0.1,B
013H,B,Mixtral-8x7B-Instruct-v0.1,B
063G,E,Mixtral-8x7B-Instruct-v0.1,D
062H,E,Mixtral-8x7B-Instruct-v0.1,B
072G,B,Mixtral-8x7B-Instruct-v0.1,B
083H,D,Mixtral-8x7B-Instruct-v0.1,D
120H,F,Mixtral-8x7B-Instruct-v0.1,E
081G,B,Mixtral-8x7B-Instruct-v0.1,B
032H,B,Mixtral-8x7B-Instruct-v0.1,B
037G,C,Mixtral-8x7B-Instruct-v0.1,C
059G,C,Mixtral-8x7B-Instruct-v0.1,C
110H,E,Mixtral-8x7B-Instruct-v0.1,E
065H,E,Mixtral-8x7B-Instruct-v0.1,E
028G,C,Mixtral-8x7B-Instruct-v0.1,C
091G,C,Mixtral-8x7B-Instruct-v0.1,C
049H,D,Mistral-7B-Instruct-v0.2,D
006H,A,Mistral-7B-Instruct-v0.2,A
027G,D,Mistral-7B-Instruct-v0.2,D
118H,D,Mistral-7B-Instruct-v0.2,B
079H,A,Mistral-7B-Instruct-v0.2,C
061G,E,Mistral-7B-Instruct-v0.2,E
057H,E,Mistral-7B-Instruct-v0.2,B
104G,B,Mistral-7B-Instruct-v0.2,B
081H,B,Mistral-7B-Instruct-v0.2,D
106G,D,Mistral-7B-Instruct-v0.2,D
067G,B,Mistral-7B-Instruct-v0.2,B
077G,C,Mistral-7B-Instruct-v0.2,C
037H,A,Mistral-7B-Instruct-v0.2,A
042G,A,Mistral-7B-Instruct-v0.2,A
120G,A,Mistral-7B-Instruct-v0.2,A
036H,D,Mistral-7B-Instruct-v0.2,D
066H,E,Mistral-7B-Instruct-v0.2,C
062G,D,Mistral-7B-Instruct-v0.2,C
013G,C,Mistral-7B-Instruct-v0.2,C
063H,E,Mistral-7B-Instruct-v0.2,E
097H,B,Mistral-7B-Instruct-v0.2,B
073G,B,Mistral-7B-Instruct-v0.2,B
043H,B,Mistral-7B-Instruct-v0.2,B
066G,B,Mistral-7B-Instruct-v0.2,B
104H,A,Mistral-7B-Instruct-v0.2,C
086G,D,Mistral-7B-Instruct-v0.2,D
083G,B,Mistral-7B-Instruct-v0.2,B
045H,C,Mistral-7B-Instruct-v0.2,C
089G,B,Mistral-7B-Instruct-v0.2,B
032G,C,Mistral-7B-Instruct-v0.2,C
099H,A,Mistral-7B-Instruct-v0.2,A
027H,E,Mistral-7B-Instruct-v0.2,E
100H,C,Mistral-7B-Instruct-v0.2,C
035G,B,Mistral-7B-Instruct-v0.2,B
068G,C,Mistral-7B-Instruct-v0.2,F
065G,C,Mistral-7B-Instruct-v0.2,C
006G,B,Mistral-7B-Instruct-v0.2,E
086H,E,Mistral-7B-Instruct-v0.2,E
042H,B,Mistral-7B-Instruct-v0.2,B
036G,B,Mistral-7B-Instruct-v0.2,B
007H,D,Mistral-7B-Instruct-v0.2,B
116H,B,Mistral-7B-Instruct-v0.2,B
111H,A,Mistral-7B-Instruct-v0.2,C
106H,E,Mistral-7B-Instruct-v0.2,D
072H,B,Mistral-7B-Instruct-v0.2,B
031G,C,Mistral-7B-Instruct-v0.2,C
061H,E,Mistral-7B-Instruct-v0.2,E
022H,A,Mistral-7B-Instruct-v0.2,A
040H,C,Mistral-7B-Instruct-v0.2,C
091H,A,Mistral-7B-Instruct-v0.2,D
007G,D,Mistral-7B-Instruct-v0.2,D
049G,A,Mistral-7B-Instruct-v0.2,A
110G,E,Mistral-7B-Instruct-v0.2,E
075G,C,Mistral-7B-Instruct-v0.2,D
059H,E,Mistral-7B-Instruct-v0.2,D
057G,A,Mistral-7B-Instruct-v0.2,B
043G,A,Mistral-7B-Instruct-v0.2,C
116G,B,Mistral-7B-Instruct-v0.2,B
077H,C,Mistral-7B-Instruct-v0.2,D
100G,B,Mistral-7B-Instruct-v0.2,B
118G,F,Mistral-7B-Instruct-v0.2,F
097G,B,Mistral-7B-Instruct-v0.2,B
039G,B,Mistral-7B-Instruct-v0.2,A
111G,A,Mistral-7B-Instruct-v0.2,D
031H,D,Mistral-7B-Instruct-v0.2,D
102G,D,Mistral-7B-Instruct-v0.2,D
105H,D,Mistral-7B-Instruct-v0.2,B
099G,B,Mistral-7B-Instruct-v0.2,B
098G,B,Mistral-7B-Instruct-v0.2,B
009G,B,Mistral-7B-Instruct-v0.2,B
035H,C,Mistral-7B-Instruct-v0.2,C
039H,C,Mistral-7B-Instruct-v0.2,C
075H,D,Mistral-7B-Instruct-v0.2,D
040G,B,Mistral-7B-Instruct-v0.2,B
009H,C,Mistral-7B-Instruct-v0.2,B
089H,A,Mistral-7B-Instruct-v0.2,A
079G,C,Mistral-7B-Instruct-v0.2,C
068H,D,Mistral-7B-Instruct-v0.2,A
102H,A,Mistral-7B-Instruct-v0.2,E
105G,B,Mistral-7B-Instruct-v0.2,B
028H,C,Mistral-7B-Instruct-v0.2,C
073H,D,Mistral-7B-Instruct-v0.2,F
067H,E,Mistral-7B-Instruct-v0.2,B
045G,B,Mistral-7B-Instruct-v0.2,B
022G,B,Mistral-7B-Instruct-v0.2,B
098H,B,Mistral-7B-Instruct-v0.2,B
013H,B,Mistral-7B-Instruct-v0.2,A
063G,E,Mistral-7B-Instruct-v0.2,E
062H,E,Mistral-7B-Instruct-v0.2,B
072G,B,Mistral-7B-Instruct-v0.2,A
083H,D,Mistral-7B-Instruct-v0.2,D
120H,F,Mistral-7B-Instruct-v0.2,B
081G,B,Mistral-7B-Instruct-v0.2,E
032H,B,Mistral-7B-Instruct-v0.2,B
037G,C,Mistral-7B-Instruct-v0.2,C
059G,C,Mistral-7B-Instruct-v0.2,B
110H,E,Mistral-7B-Instruct-v0.2,E
065H,E,Mistral-7B-Instruct-v0.2,C
028G,C,Mistral-7B-Instruct-v0.2,C
091G,C,Mistral-7B-Instruct-v0.2,C
049H,D,Mistral-7B-Instruct-v0.1,D
006H,A,Mistral-7B-Instruct-v0.1,A
027G,D,Mistral-7B-Instruct-v0.1,E
118H,D,Mistral-7B-Instruct-v0.1,B
079H,A,Mistral-7B-Instruct-v0.1,E
061G,E,Mistral-7B-Instruct-v0.1,A
057H,E,Mistral-7B-Instruct-v0.1,A
104G,B,Mistral-7B-Instruct-v0.1,B
081H,B,Mistral-7B-Instruct-v0.1,B
106G,D,Mistral-7B-Instruct-v0.1,D
067G,B,Mistral-7B-Instruct-v0.1,C
077G,C,Mistral-7B-Instruct-v0.1,B
037H,A,Mistral-7B-Instruct-v0.1,A
042G,A,Mistral-7B-Instruct-v0.1,A
120G,A,Mistral-7B-Instruct-v0.1,A
036H,D,Mistral-7B-Instruct-v0.1,D
066H,E,Mistral-7B-Instruct-v0.1,E
062G,D,Mistral-7B-Instruct-v0.1,C
013G,C,Mistral-7B-Instruct-v0.1,C
063H,E,Mistral-7B-Instruct-v0.1,A
097H,B,Mistral-7B-Instruct-v0.1,A
073G,B,Mistral-7B-Instruct-v0.1,A
043H,B,Mistral-7B-Instruct-v0.1,C
066G,B,Mistral-7B-Instruct-v0.1,B
104H,A,Mistral-7B-Instruct-v0.1,C
086G,D,Mistral-7B-Instruct-v0.1,D
083G,B,Mistral-7B-Instruct-v0.1,B
045H,C,Mistral-7B-Instruct-v0.1,C
089G,B,Mistral-7B-Instruct-v0.1,B
032G,C,Mistral-7B-Instruct-v0.1,C
099H,A,Mistral-7B-Instruct-v0.1,E
027H,E,Mistral-7B-Instruct-v0.1,E
100H,C,Mistral-7B-Instruct-v0.1,B
035G,B,Mistral-7B-Instruct-v0.1,C
068G,C,Mistral-7B-Instruct-v0.1,F
065G,C,Mistral-7B-Instruct-v0.1,C
006G,B,Mistral-7B-Instruct-v0.1,E
086H,E,Mistral-7B-Instruct-v0.1,E
042H,B,Mistral-7B-Instruct-v0.1,A
036G,B,Mistral-7B-Instruct-v0.1,A
007H,D,Mistral-7B-Instruct-v0.1,A
116H,B,Mistral-7B-Instruct-v0.1,C
111H,A,Mistral-7B-Instruct-v0.1,A
106H,E,Mistral-7B-Instruct-v0.1,E
072H,B,Mistral-7B-Instruct-v0.1,B
031G,C,Mistral-7B-Instruct-v0.1,C
061H,E,Mistral-7B-Instruct-v0.1,E
022H,A,Mistral-7B-Instruct-v0.1,C
040H,C,Mistral-7B-Instruct-v0.1,E
091H,A,Mistral-7B-Instruct-v0.1,A
007G,D,Mistral-7B-Instruct-v0.1,D
049G,A,Mistral-7B-Instruct-v0.1,A
110G,E,Mistral-7B-Instruct-v0.1,E
075G,C,Mistral-7B-Instruct-v0.1,D
059H,E,Mistral-7B-Instruct-v0.1,F
057G,A,Mistral-7B-Instruct-v0.1,B
043G,A,Mistral-7B-Instruct-v0.1,A
116G,B,Mistral-7B-Instruct-v0.1,B
077H,C,Mistral-7B-Instruct-v0.1,C
100G,B,Mistral-7B-Instruct-v0.1,A
118G,F,Mistral-7B-Instruct-v0.1,F
097G,B,Mistral-7B-Instruct-v0.1,A
039G,B,Mistral-7B-Instruct-v0.1,A
111G,A,Mistral-7B-Instruct-v0.1,D
031H,D,Mistral-7B-Instruct-v0.1,E
102G,D,Mistral-7B-Instruct-v0.1,D
105H,D,Mistral-7B-Instruct-v0.1,E
099G,B,Mistral-7B-Instruct-v0.1,B
098G,B,Mistral-7B-Instruct-v0.1,B
009G,B,Mistral-7B-Instruct-v0.1,B
035H,C,Mistral-7B-Instruct-v0.1,C
039H,C,Mistral-7B-Instruct-v0.1,A
075H,D,Mistral-7B-Instruct-v0.1,D
040G,B,Mistral-7B-Instruct-v0.1,B
009H,C,Mistral-7B-Instruct-v0.1,B
089H,A,Mistral-7B-Instruct-v0.1,A
079G,C,Mistral-7B-Instruct-v0.1,C
068H,D,Mistral-7B-Instruct-v0.1,A
102H,A,Mistral-7B-Instruct-v0.1,E
105G,B,Mistral-7B-Instruct-v0.1,C
028H,C,Mistral-7B-Instruct-v0.1,C
073H,D,Mistral-7B-Instruct-v0.1,E
067H,E,Mistral-7B-Instruct-v0.1,E
045G,B,Mistral-7B-Instruct-v0.1,B
022G,B,Mistral-7B-Instruct-v0.1,A
098H,B,Mistral-7B-Instruct-v0.1,B
013H,B,Mistral-7B-Instruct-v0.1,A
063G,E,Mistral-7B-Instruct-v0.1,E
062H,E,Mistral-7B-Instruct-v0.1,B
072G,B,Mistral-7B-Instruct-v0.1,B
083H,D,Mistral-7B-Instruct-v0.1,A
120H,F,Mistral-7B-Instruct-v0.1,A
081G,B,Mistral-7B-Instruct-v0.1,B
032H,B,Mistral-7B-Instruct-v0.1,B
037G,C,Mistral-7B-Instruct-v0.1,C
059G,C,Mistral-7B-Instruct-v0.1,B
110H,E,Mistral-7B-Instruct-v0.1,E
065H,E,Mistral-7B-Instruct-v0.1,C
028G,C,Mistral-7B-Instruct-v0.1,C
091G,C,Mistral-7B-Instruct-v0.1,C
049H,D,zephyr-7b-beta,B
006H,A,zephyr-7b-beta,A
027G,D,zephyr-7b-beta,D
118H,D,zephyr-7b-beta,D
079H,A,zephyr-7b-beta,C
061G,E,zephyr-7b-beta,A
057H,E,zephyr-7b-beta,B
104G,B,zephyr-7b-beta,B
081H,B,zephyr-7b-beta,B
106G,D,zephyr-7b-beta,D
067G,B,zephyr-7b-beta,B
077G,C,zephyr-7b-beta,C
037H,A,zephyr-7b-beta,A
042G,A,zephyr-7b-beta,A
120G,A,zephyr-7b-beta,D
036H,D,zephyr-7b-beta,D
066H,E,zephyr-7b-beta,E
062G,D,zephyr-7b-beta,C
013G,C,zephyr-7b-beta,C
063H,E,zephyr-7b-beta,E
097H,B,zephyr-7b-beta,A
073G,B,zephyr-7b-beta,B
043H,B,zephyr-7b-beta,B
066G,B,zephyr-7b-beta,B
104H,A,zephyr-7b-beta,A
086G,D,zephyr-7b-beta,D
083G,B,zephyr-7b-beta,B
045H,C,zephyr-7b-beta,C
089G,B,zephyr-7b-beta,B
032G,C,zephyr-7b-beta,C
099H,A,zephyr-7b-beta,C
027H,E,zephyr-7b-beta,E
100H,C,zephyr-7b-beta,B
035G,B,zephyr-7b-beta,B
068G,C,zephyr-7b-beta,B
065G,C,zephyr-7b-beta,C
006G,B,zephyr-7b-beta,E
086H,E,zephyr-7b-beta,C
042H,B,zephyr-7b-beta,B
036G,B,zephyr-7b-beta,A
007H,D,zephyr-7b-beta,B
116H,B,zephyr-7b-beta,B
111H,A,zephyr-7b-beta,C
106H,E,zephyr-7b-beta,E
072H,B,zephyr-7b-beta,B
031G,C,zephyr-7b-beta,D
061H,E,zephyr-7b-beta,E
022H,A,zephyr-7b-beta,C
040H,C,zephyr-7b-beta,C
091H,A,zephyr-7b-beta,D
007G,D,zephyr-7b-beta,B
049G,A,zephyr-7b-beta,A
110G,E,zephyr-7b-beta,E
075G,C,zephyr-7b-beta,D
059H,E,zephyr-7b-beta,E
057G,A,zephyr-7b-beta,B
043G,A,zephyr-7b-beta,C
116G,B,zephyr-7b-beta,B
077H,C,zephyr-7b-beta,D
100G,B,zephyr-7b-beta,B
118G,F,zephyr-7b-beta,F
097G,B,zephyr-7b-beta,B
039G,B,zephyr-7b-beta,D
111G,A,zephyr-7b-beta,D
031H,D,zephyr-7b-beta,E
102G,D,zephyr-7b-beta,D
105H,D,zephyr-7b-beta,B
099G,B,zephyr-7b-beta,B
098G,B,zephyr-7b-beta,B
009G,B,zephyr-7b-beta,D
035H,C,zephyr-7b-beta,E
039H,C,zephyr-7b-beta,C
075H,D,zephyr-7b-beta,D
040G,B,zephyr-7b-beta,B
009H,C,zephyr-7b-beta,B
089H,A,zephyr-7b-beta,A
079G,C,zephyr-7b-beta,C
068H,D,zephyr-7b-beta,B
102H,A,zephyr-7b-beta,E
105G,B,zephyr-7b-beta,B
028H,C,zephyr-7b-beta,C
073H,D,zephyr-7b-beta,F
067H,E,zephyr-7b-beta,E
045G,B,zephyr-7b-beta,B
022G,B,zephyr-7b-beta,B
098H,B,zephyr-7b-beta,B
013H,B,zephyr-7b-beta,A
063G,E,zephyr-7b-beta,D
062H,E,zephyr-7b-beta,B
072G,B,zephyr-7b-beta,B
083H,D,zephyr-7b-beta,D
120H,F,zephyr-7b-beta,B
081G,B,zephyr-7b-beta,B
032H,B,zephyr-7b-beta,B
037G,C,zephyr-7b-beta,C
059G,C,zephyr-7b-beta,B
110H,E,zephyr-7b-beta,E
065H,E,zephyr-7b-beta,C
028G,C,zephyr-7b-beta,C
091G,C,zephyr-7b-beta,C
049H,D,llama-2-7b-chat_huggingface,D
006H,A,llama-2-7b-chat_huggingface,A
027G,D,llama-2-7b-chat_huggingface,D
118H,D,llama-2-7b-chat_huggingface,B
079H,A,llama-2-7b-chat_huggingface,C
061G,E,llama-2-7b-chat_huggingface,A
057H,E,llama-2-7b-chat_huggingface,D
104G,B,llama-2-7b-chat_huggingface,B
081H,B,llama-2-7b-chat_huggingface,B
106G,D,llama-2-7b-chat_huggingface,C
067G,B,llama-2-7b-chat_huggingface,B
077G,C,llama-2-7b-chat_huggingface,B
037H,A,llama-2-7b-chat_huggingface,A
042G,A,llama-2-7b-chat_huggingface,A
120G,A,llama-2-7b-chat_huggingface,A
036H,D,llama-2-7b-chat_huggingface,D
066H,E,llama-2-7b-chat_huggingface,E
062G,D,llama-2-7b-chat_huggingface,C
013G,C,llama-2-7b-chat_huggingface,C
063H,E,llama-2-7b-chat_huggingface,B
097H,B,llama-2-7b-chat_huggingface,A
073G,B,llama-2-7b-chat_huggingface,B
043H,B,llama-2-7b-chat_huggingface,B
066G,B,llama-2-7b-chat_huggingface,B
104H,A,llama-2-7b-chat_huggingface,C
086G,D,llama-2-7b-chat_huggingface,C
083G,B,llama-2-7b-chat_huggingface,B
045H,C,llama-2-7b-chat_huggingface,C
089G,B,llama-2-7b-chat_huggingface,B
032G,C,llama-2-7b-chat_huggingface,C
099H,A,llama-2-7b-chat_huggingface,C
027H,E,llama-2-7b-chat_huggingface,D
100H,C,llama-2-7b-chat_huggingface,B
035G,B,llama-2-7b-chat_huggingface,B
068G,C,llama-2-7b-chat_huggingface,B
065G,C,llama-2-7b-chat_huggingface,C
006G,B,llama-2-7b-chat_huggingface,D
086H,E,llama-2-7b-chat_huggingface,A
042H,B,llama-2-7b-chat_huggingface,A
036G,B,llama-2-7b-chat_huggingface,A
007H,D,llama-2-7b-chat_huggingface,D
116H,B,llama-2-7b-chat_huggingface,A
111H,A,llama-2-7b-chat_huggingface,B
106H,E,llama-2-7b-chat_huggingface,D
072H,B,llama-2-7b-chat_huggingface,D
031G,C,llama-2-7b-chat_huggingface,C
061H,E,llama-2-7b-chat_huggingface,A
022H,A,llama-2-7b-chat_huggingface,C
040H,C,llama-2-7b-chat_huggingface,C
091H,A,llama-2-7b-chat_huggingface,D
007G,D,llama-2-7b-chat_huggingface,D
049G,A,llama-2-7b-chat_huggingface,A
110G,E,llama-2-7b-chat_huggingface,C
075G,C,llama-2-7b-chat_huggingface,C
059H,E,llama-2-7b-chat_huggingface,E
057G,A,llama-2-7b-chat_huggingface,B
043G,A,llama-2-7b-chat_huggingface,C
116G,B,llama-2-7b-chat_huggingface,B
077H,C,llama-2-7b-chat_huggingface,D
100G,B,llama-2-7b-chat_huggingface,B
118G,F,llama-2-7b-chat_huggingface,B
097G,B,llama-2-7b-chat_huggingface,A
039G,B,llama-2-7b-chat_huggingface,A
111G,A,llama-2-7b-chat_huggingface,B
031H,D,llama-2-7b-chat_huggingface,C
102G,D,llama-2-7b-chat_huggingface,D
105H,D,llama-2-7b-chat_huggingface,E
099G,B,llama-2-7b-chat_huggingface,B
098G,B,llama-2-7b-chat_huggingface,B
009G,B,llama-2-7b-chat_huggingface,C
035H,C,llama-2-7b-chat_huggingface,B
039H,C,llama-2-7b-chat_huggingface,A
075H,D,llama-2-7b-chat_huggingface,D
040G,B,llama-2-7b-chat_huggingface,B
009H,C,llama-2-7b-chat_huggingface,B
089H,A,llama-2-7b-chat_huggingface,A
079G,C,llama-2-7b-chat_huggingface,C
068H,D,llama-2-7b-chat_huggingface,B
102H,A,llama-2-7b-chat_huggingface,E
105G,B,llama-2-7b-chat_huggingface,D
028H,C,llama-2-7b-chat_huggingface,C
073H,D,llama-2-7b-chat_huggingface,E
067H,E,llama-2-7b-chat_huggingface,D
045G,B,llama-2-7b-chat_huggingface,B
022G,B,llama-2-7b-chat_huggingface,B
098H,B,llama-2-7b-chat_huggingface,B
013H,B,llama-2-7b-chat_huggingface,B
063G,E,llama-2-7b-chat_huggingface,D
062H,E,llama-2-7b-chat_huggingface,B
072G,B,llama-2-7b-chat_huggingface,A
083H,D,llama-2-7b-chat_huggingface,C
120H,F,llama-2-7b-chat_huggingface,C
081G,B,llama-2-7b-chat_huggingface,B
032H,B,llama-2-7b-chat_huggingface,B
